regime,ema_state,ema_slope,swing,rsi_state,stoch_state,atr_state,vwap_state,direction,params,n_IS,wins,wr_IS,exp_R_IS,n_OOS,wr_OOS,exp_R_OOS
bull,1,1,-1,weak,strong,neutral,-1,SHORT,EMA50_RSI21_SK21SS5SD5_ATR7,29,23,0.7931,1.3793,6.0,0.3333,-0.0
bull,1,1,0,oversold,weak,expansion,-1,SHORT,EMA200_RSI7_SK5SS3SD3_ATR7,29,23,0.7931,1.3793,5.0,0.6,0.8
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA21_RSI14_SK5SS3SD3_ATR14,29,23,0.7931,1.3793,5.0,0.8,1.4
bull,-1,-1,-1,oversold,weak,neutral,-1,SHORT,EMA100_RSI7_SK21SS5SD5_ATR21,24,19,0.7917,1.375,5.0,0.8,1.4
bear,-1,-1,-1,weak,strong,neutral,-1,SHORT,EMA21_RSI7_SK21SS5SD5_ATR7,24,19,0.7917,1.375,7.0,0.7143,1.1429
bull,1,1,1,strong,weak,neutral,1,LONG,EMA21_RSI7_SK21SS5SD5_ATR7,48,38,0.7917,1.375,7.0,0.7143,1.1429
bull,-1,-1,-1,weak,oversold,neutral,-1,SHORT,EMA21_RSI21_SK21SS5SD5_ATR7,24,19,0.7917,1.375,12.0,0.5,0.5
bull,-1,-1,-1,weak,weak,neutral,-1,SHORT,EMA21_RSI7_SK5SS3SD3_ATR14,48,38,0.7917,1.375,25.0,0.56,0.68
bull,1,1,1,overbought,strong,expansion,1,LONG,EMA100_RSI7_SK14SS3SD3_ATR7,24,19,0.7917,1.375,3.0,0.6667,1.0
bull,1,1,1,strong,weak,neutral,1,LONG,EMA200_RSI14_SK21SS5SD5_ATR21,72,57,0.7917,1.375,11.0,0.7273,1.1818
bull,1,1,1,strong,weak,neutral,1,LONG,EMA100_RSI14_SK21SS5SD5_ATR14,67,53,0.791,1.3731,8.0,0.75,1.25
bull,1,1,1,strong,weak,neutral,1,LONG,EMA100_RSI14_SK21SS5SD5_ATR21,71,56,0.7887,1.3662,8.0,0.75,1.25
bull,1,1,-1,weak,strong,neutral,-1,SHORT,EMA200_RSI7_SK14SS3SD3_ATR14,80,63,0.7875,1.3625,20.0,0.7,1.1
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA100_RSI7_SK5SS3SD3_ATR14,47,37,0.7872,1.3617,8.0,0.625,0.875
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA50_RSI7_SK5SS3SD3_ATR14,47,37,0.7872,1.3617,8.0,0.625,0.875
bull,1,1,1,overbought,overbought,neutral,1,LONG,EMA200_RSI7_SK14SS3SD3_ATR7,28,22,0.7857,1.3571,10.0,0.4,0.2
bull,1,1,1,strong,weak,neutral,1,LONG,EMA100_RSI7_SK21SS5SD5_ATR14,56,44,0.7857,1.3571,5.0,0.8,1.4
bull,1,1,1,strong,weak,neutral,1,LONG,EMA200_RSI7_SK21SS5SD5_ATR14,56,44,0.7857,1.3571,8.0,0.75,1.25
bull,1,1,0,oversold,weak,expansion,-1,SHORT,EMA200_RSI7_SK14SS3SD3_ATR7,28,22,0.7857,1.3571,3.0,0.3333,-0.0
bear,-1,-1,-1,weak,strong,neutral,-1,SHORT,EMA200_RSI7_SK21SS5SD5_ATR7,28,22,0.7857,1.3571,6.0,0.6667,1.0
bull,1,1,1,overbought,overbought,neutral,1,LONG,EMA50_RSI7_SK14SS3SD3_ATR14,28,22,0.7857,1.3571,12.0,0.4167,0.25
bull,1,1,1,strong,weak,neutral,1,LONG,EMA50_RSI21_SK21SS5SD5_ATR21,79,62,0.7848,1.3544,12.0,0.6667,1.0
bull,1,1,-1,weak,strong,neutral,-1,SHORT,EMA50_RSI7_SK14SS3SD3_ATR7,37,29,0.7838,1.3514,10.0,0.5,0.5
bull,1,1,1,strong,weak,neutral,1,LONG,EMA200_RSI7_SK21SS5SD5_ATR21,60,47,0.7833,1.35,8.0,0.75,1.25
bull,1,1,1,strong,weak,neutral,1,LONG,EMA21_RSI14_SK21SS5SD5_ATR7,60,47,0.7833,1.35,10.0,0.6,0.8
bull,1,1,1,strong,weak,neutral,1,LONG,EMA200_RSI14_SK21SS5SD5_ATR7,60,47,0.7833,1.35,9.0,0.6667,1.0
bull,1,1,1,strong,weak,neutral,1,LONG,EMA100_RSI7_SK21SS5SD5_ATR21,60,47,0.7833,1.35,5.0,0.8,1.4
bull,1,1,-1,weak,strong,neutral,-1,SHORT,EMA50_RSI7_SK14SS3SD3_ATR14,46,36,0.7826,1.3478,14.0,0.5714,0.7143
bull,1,1,1,overbought,strong,expansion,1,LONG,EMA200_RSI14_SK5SS3SD3_ATR7,23,18,0.7826,1.3478,3.0,1.0,2.0
