regime,ema_state,ema_slope,swing,rsi_state,stoch_state,atr_state,vwap_state,direction,params,n,wins,wr,exp_R
bear,-1,-1,-1,weak,strong,neutral,-1,SHORT,EMA200_RSI14_SK21SS5SD5_ATR7,34,26,0.7647,1.2941
bear,-1,-1,1,strong,weak,neutral,1,LONG,EMA200_RSI21_SK21SS5SD5_ATR14,34,26,0.7647,1.2941
bull,-1,-1,-1,weak,weak,neutral,-1,SHORT,EMA50_RSI21_SK5SS3SD3_ATR14,68,52,0.7647,1.2941
bull,1,1,-1,weak,strong,neutral,-1,SHORT,EMA200_RSI7_SK14SS3SD3_ATR21,85,65,0.7647,1.2941
bull,-1,-1,0,oversold,weak,neutral,-1,SHORT,EMA100_RSI7_SK14SS3SD3_ATR21,34,26,0.7647,1.2941
bear,-1,-1,-1,weak,strong,neutral,-1,SHORT,EMA21_RSI7_SK14SS3SD3_ATR7,38,29,0.7632,1.2895
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA100_RSI14_SK14SS3SD3_ATR21,21,16,0.7619,1.2857
bull,-1,-1,-1,oversold,weak,neutral,-1,SHORT,EMA100_RSI7_SK21SS5SD5_ATR14,21,16,0.7619,1.2857
bear,-1,-1,1,strong,weak,neutral,1,LONG,EMA50_RSI21_SK21SS5SD5_ATR14,21,16,0.7619,1.2857
bear,-1,-1,1,strong,weak,neutral,1,LONG,EMA200_RSI14_SK21SS5SD5_ATR7,21,16,0.7619,1.2857
bear,1,1,1,strong,weak,neutral,1,LONG,EMA21_RSI14_SK21SS5SD5_ATR7,21,16,0.7619,1.2857
bull,1,1,-1,weak,strong,neutral,-1,SHORT,EMA200_RSI7_SK21SS5SD5_ATR21,63,48,0.7619,1.2857
bear,-1,-1,0,oversold,oversold,neutral,-1,SHORT,EMA50_RSI7_SK21SS5SD5_ATR7,21,16,0.7619,1.2857
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA200_RSI14_SK14SS3SD3_ATR21,21,16,0.7619,1.2857
bear,-1,-1,0,weak,weak,neutral,1,SHORT,EMA50_RSI14_SK5SS3SD3_ATR7,21,16,0.7619,1.2857
bull,-1,-1,-1,strong,strong,neutral,1,SHORT,EMA100_RSI7_SK5SS3SD3_ATR21,21,16,0.7619,1.2857
bull,-1,-1,0,weak,strong,expansion,-1,SHORT,EMA21_RSI14_SK14SS3SD3_ATR7,21,16,0.7619,1.2857
bear,1,1,1,strong,weak,neutral,1,LONG,EMA50_RSI21_SK21SS5SD5_ATR7,21,16,0.7619,1.2857
bull,1,1,-1,weak,strong,neutral,-1,SHORT,EMA100_RSI7_SK14SS3SD3_ATR14,67,51,0.7612,1.2836
bull,1,1,0,oversold,weak,expansion,-1,SHORT,EMA100_RSI7_SK14SS3SD3_ATR7,25,19,0.76,1.28
bull,1,1,1,overbought,strong,expansion,1,LONG,EMA50_RSI7_SK14SS3SD3_ATR7,25,19,0.76,1.28
bull,-1,-1,0,oversold,weak,neutral,-1,SHORT,EMA200_RSI7_SK14SS3SD3_ATR21,25,19,0.76,1.28
bull,-1,-1,0,oversold,weak,neutral,-1,SHORT,EMA200_RSI7_SK14SS3SD3_ATR14,25,19,0.76,1.28
bear,-1,-1,1,strong,weak,neutral,1,LONG,EMA200_RSI14_SK21SS5SD5_ATR14,25,19,0.76,1.28
bull,-1,-1,-1,oversold,weak,neutral,-1,SHORT,EMA100_RSI7_SK14SS3SD3_ATR14,25,19,0.76,1.28
bull,1,1,1,strong,weak,neutral,1,LONG,EMA200_RSI21_SK21SS5SD5_ATR14,79,60,0.7595,1.2785
bull,1,1,1,strong,weak,neutral,1,LONG,EMA200_RSI21_SK21SS5SD5_ATR21,83,63,0.759,1.2771
bear,-1,-1,1,strong,weak,neutral,1,LONG,EMA200_RSI21_SK21SS5SD5_ATR7,29,22,0.7586,1.2759
bull,-1,-1,-1,weak,strong,neutral,-1,SHORT,EMA21_RSI7_SK14SS3SD3_ATR7,58,44,0.7586,1.2759
bull,1,1,-1,weak,strong,neutral,-1,SHORT,EMA200_RSI7_SK21SS5SD5_ATR14,58,44,0.7586,1.2759
bear,-1,-1,-1,weak,strong,neutral,-1,SHORT,EMA21_RSI7_SK21SS5SD5_ATR21,29,22,0.7586,1.2759
bear,-1,-1,-1,weak,strong,neutral,-1,SHORT,EMA200_RSI7_SK21SS5SD5_ATR21,33,25,0.7576,1.2727
bull,-1,-1,-1,weak,weak,neutral,-1,SHORT,EMA21_RSI14_SK5SS3SD3_ATR14,70,53,0.7571,1.2714
bull,-1,-1,-1,weak,strong,neutral,-1,SHORT,EMA100_RSI7_SK14SS3SD3_ATR14,41,31,0.7561,1.2683
bull,1,1,-1,weak,strong,neutral,-1,SHORT,EMA200_RSI7_SK21SS5SD5_ATR7,45,34,0.7556,1.2667
bull,-1,-1,-1,weak,strong,neutral,-1,SHORT,EMA21_RSI7_SK14SS3SD3_ATR21,81,61,0.7531,1.2593
bull,-1,-1,1,strong,weak,neutral,1,LONG,EMA200_RSI7_SK14SS3SD3_ATR21,20,15,0.75,1.25
bear,-1,-1,0,weak,weak,neutral,1,SHORT,EMA21_RSI14_SK5SS3SD3_ATR7,20,15,0.75,1.25
bear,-1,-1,-1,weak,strong,neutral,-1,SHORT,EMA21_RSI14_SK14SS3SD3_ATR7,48,36,0.75,1.25
bull,-1,-1,0,oversold,weak,neutral,-1,SHORT,EMA100_RSI7_SK21SS5SD5_ATR21,28,21,0.75,1.25
bull,-1,-1,0,oversold,weak,neutral,-1,SHORT,EMA100_RSI7_SK5SS3SD3_ATR21,40,30,0.75,1.25
bull,1,1,-1,weak,strong,neutral,-1,SHORT,EMA100_RSI7_SK14SS3SD3_ATR7,52,39,0.75,1.25
bull,1,1,1,overbought,strong,expansion,1,LONG,EMA200_RSI7_SK21SS5SD5_ATR7,20,15,0.75,1.25
bear,-1,-1,1,weak,weak,neutral,1,LONG,EMA200_RSI7_SK21SS5SD5_ATR14,20,15,0.75,1.25
bull,1,1,0,oversold,weak,expansion,-1,SHORT,EMA50_RSI7_SK14SS3SD3_ATR7,24,18,0.75,1.25
bear,-1,-1,-1,weak,strong,neutral,-1,SHORT,EMA200_RSI7_SK21SS5SD5_ATR14,32,24,0.75,1.25
bear,-1,-1,-1,weak,strong,neutral,-1,SHORT,EMA50_RSI14_SK21SS5SD5_ATR7,32,24,0.75,1.25
bull,1,1,1,overbought,strong,expansion,1,LONG,EMA21_RSI14_SK5SS3SD3_ATR7,24,18,0.75,1.25
bull,1,1,1,overbought,overbought,neutral,1,LONG,EMA21_RSI7_SK14SS3SD3_ATR21,36,27,0.75,1.25
bear,1,1,1,strong,weak,neutral,1,LONG,EMA21_RSI21_SK21SS5SD5_ATR7,28,21,0.75,1.25
bull,1,1,-1,weak,strong,neutral,-1,SHORT,EMA21_RSI14_SK21SS5SD5_ATR7,20,15,0.75,1.25
bear,-1,-1,-1,weak,strong,neutral,-1,SHORT,EMA21_RSI14_SK21SS5SD5_ATR7,32,24,0.75,1.25
bull,-1,-1,0,oversold,weak,neutral,-1,SHORT,EMA200_RSI7_SK5SS3SD3_ATR21,32,24,0.75,1.25
bull,-1,-1,-1,strong,strong,neutral,1,SHORT,EMA100_RSI7_SK5SS3SD3_ATR14,20,15,0.75,1.25
bear,-1,-1,0,oversold,oversold,neutral,-1,SHORT,EMA200_RSI7_SK14SS3SD3_ATR7,20,15,0.75,1.25
bull,-1,-1,-1,weak,strong,neutral,-1,SHORT,EMA100_RSI7_SK14SS3SD3_ATR7,32,24,0.75,1.25
bull,1,1,1,overbought,overbought,neutral,1,LONG,EMA21_RSI14_SK14SS3SD3_ATR14,20,15,0.75,1.25
bull,-1,-1,0,overbought,strong,neutral,1,LONG,EMA21_RSI7_SK21SS5SD5_ATR14,20,15,0.75,1.25
bear,1,1,1,weak,weak,neutral,1,LONG,EMA21_RSI7_SK21SS5SD5_ATR14,20,15,0.75,1.25
bear,-1,-1,1,strong,weak,neutral,1,LONG,EMA100_RSI21_SK21SS5SD5_ATR7,24,18,0.75,1.25
bull,-1,-1,0,oversold,weak,neutral,-1,SHORT,EMA200_RSI7_SK21SS5SD5_ATR14,20,15,0.75,1.25
bear,1,1,1,strong,weak,neutral,1,LONG,EMA21_RSI7_SK14SS3SD3_ATR7,28,21,0.75,1.25
bull,-1,-1,0,oversold,weak,expansion,-1,SHORT,EMA21_RSI7_SK14SS3SD3_ATR7,28,21,0.75,1.25
bull,-1,-1,0,oversold,weak,neutral,-1,SHORT,EMA100_RSI7_SK14SS3SD3_ATR14,32,24,0.75,1.25
bear,-1,-1,0,overbought,overbought,neutral,1,LONG,EMA100_RSI7_SK14SS3SD3_ATR21,20,15,0.75,1.25
bull,-1,-1,0,oversold,weak,neutral,-1,SHORT,EMA200_RSI7_SK21SS5SD5_ATR21,20,15,0.75,1.25
bull,1,1,-1,weak,strong,neutral,-1,SHORT,EMA50_RSI14_SK21SS5SD5_ATR21,44,33,0.75,1.25
bull,1,1,-1,weak,strong,neutral,-1,SHORT,EMA100_RSI7_SK21SS5SD5_ATR7,36,27,0.75,1.25
bear,-1,-1,-1,weak,strong,neutral,-1,SHORT,EMA21_RSI7_SK21SS5SD5_ATR14,28,21,0.75,1.25
bear,-1,-1,0,overbought,overbought,neutral,1,LONG,EMA50_RSI7_SK14SS3SD3_ATR21,20,15,0.75,1.25
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA50_RSI14_SK5SS3SD3_ATR21,32,24,0.75,1.25
bear,-1,-1,-1,weak,strong,neutral,-1,SHORT,EMA100_RSI14_SK21SS5SD5_ATR7,32,24,0.75,1.25
bull,1,1,1,strong,weak,neutral,1,LONG,EMA21_RSI21_SK21SS5SD5_ATR21,87,65,0.7471,1.2414
bull,1,1,1,strong,weak,neutral,1,LONG,EMA100_RSI21_SK21SS5SD5_ATR21,83,62,0.747,1.241
bull,1,1,1,strong,weak,neutral,1,LONG,EMA21_RSI21_SK21SS5SD5_ATR14,83,62,0.747,1.241
bull,1,1,1,strong,weak,neutral,1,LONG,EMA100_RSI21_SK21SS5SD5_ATR14,79,59,0.7468,1.2405
bull,1,1,1,strong,weak,neutral,1,LONG,EMA50_RSI21_SK21SS5SD5_ATR7,67,50,0.7463,1.2388
bull,1,1,1,strong,weak,neutral,1,LONG,EMA21_RSI7_SK14SS3SD3_ATR7,67,50,0.7463,1.2388
bull,1,1,1,strong,weak,neutral,1,LONG,EMA50_RSI7_SK14SS3SD3_ATR7,63,47,0.746,1.2381
bull,-1,-1,-1,weak,strong,neutral,-1,SHORT,EMA21_RSI7_SK21SS5SD5_ATR21,63,47,0.746,1.2381
bull,-1,-1,-1,weak,strong,neutral,-1,SHORT,EMA21_RSI7_SK21SS5SD5_ATR14,59,44,0.7458,1.2373
bull,1,1,-1,weak,strong,neutral,-1,SHORT,EMA100_RSI7_SK21SS5SD5_ATR21,51,38,0.7451,1.2353
bull,1,1,-1,weak,strong,neutral,-1,SHORT,EMA50_RSI7_SK14SS3SD3_ATR21,51,38,0.7451,1.2353
bull,-1,-1,-1,weak,weak,neutral,-1,SHORT,EMA21_RSI21_SK5SS3SD3_ATR21,94,70,0.7447,1.234
bull,1,1,-1,weak,strong,neutral,-1,SHORT,EMA100_RSI7_SK21SS5SD5_ATR14,47,35,0.7447,1.234
bull,-1,-1,-1,weak,weak,neutral,-1,SHORT,EMA21_RSI7_SK5SS3SD3_ATR7,39,29,0.7436,1.2308
